Nro. IMNC,Nombre Insp.,Taller Insp.,Taller IMNC,Sec. Costo,Causa,Estado,Fecha IMNC,Fecha Disp.,Disposición,Fec.Cierre,Fec. Comp. Tareas,Prog OTG,SA IMNC,Cliente,Contrato,OTG Origen,OTP Origen,Agrupador OTP Origen,Operación,Desc. Operación,Taller de la Ope.,Doc. Cliente,Cod.Prov.,Proveedor,Nro. Parte,Nro. Serie,Desc.,Desc. Discrepancia.,Cód. Novedad,OTG Resolución,OTP Resolución,Agrupadora Resolución,Taller Ope ó Taller IMNC,Tecnologia Taller,Matricula / N° Plano
60095,Seiya,3768,416,,,Anulado,26/11/2024,,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,748638,0.0,30,"REALIZAR CONVERSIÓN QUÍMICA S/ NE 40-006 (NPF/PRE/001 E IOP/PRE/0058)

REGISTRAR FECHA Y HORA DE FINALIZACIÓN DEL PROCESO:
TIEMPO DE INMERSIÓN:",416.0,,,Goku,390-07808-005_MF,22-24,"SOPORTE, ARNES CONECTOR-DEL FUS,AL",Se observan discontinuidades en la superficie tratada no compatibles con lo establecido en la norma NPF/PRE/001.,TTS-006,,,,416,PROCESO QUIMÍCO,22 - 24
60096,Seiya,3768,416,,,Cerrado,26/11/2024,28/11/2024,,06/12/2024,06/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,748638,0.0,30,"REALIZAR CONVERSIÓN QUÍMICA S/ NE 40-006 (NPF/PRE/001 E IOP/PRE/0058)

REGISTRAR FECHA Y HORA DE FINALIZACIÓN DEL PROCESO:
TIEMPO DE INMERSIÓN:",416.0,,,Goku,390-07808-005_MF,22-24,"SOPORTE, ARNES CONECTOR-DEL FUS,AL",Se observan discontinuidades en la superficie tratada no compatibles con lo establecido en la norma NPF/PRE/001.,TTS-006,41932805.0,756316.0,60096.0,416,PROCESO QUIMÍCO,22 - 24
60097,Seiya,3768,416,,,Anulado,26/11/2024,,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,748638,0.0,30,"REALIZAR CONVERSIÓN QUÍMICA S/ NE 40-006 (NPF/PRE/001 E IOP/PRE/0058)

REGISTRAR FECHA Y HORA DE FINALIZACIÓN DEL PROCESO:
TIEMPO DE INMERSIÓN:",416.0,,,Goku,390-07808-005_MF,22-24,"SOPORTE, ARNES CONECTOR-DEL FUS,AL",Se observan discontinuidades en la superficie tratada no compatibles con lo establecido en la norma NPF/PRE/001.,TTS-006,,,,416,PROCESO QUIMÍCO,22 - 24
60098,Seiya,3768,416,,,Vigente c/OTP,26/11/2024,28/11/2024,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,748635,0.0,30,"REALIZAR CONVERSIÓN QUÍMICA S/ NE 40-006 (NPF/PRE/001 E IOP/PRE/0058)

REGISTRAR FECHA Y HORA DE FINALIZACIÓN DEL PROCESO:
TIEMPO DE INMERSIÓN:",416.0,,,Goku,390-07639-005_MF,22-24,"SOPORTE, CONECTOR-DEL, AL",Se observan discontinuidades en la superficie tratada no compatibles con lo establecido en la norma NPF/PRE/001.,TTS-006,41932805.0,756369.0,60098.0,416,PROCESO QUIMÍCO,22 - 24
60099,Seiya,3768,416,,,Vigente c/OTP,26/11/2024,28/11/2024,,,,Tiger I,Tiger I,Jamir,Tiger I,42100284,752240,59578.0,56,,,PT 2020/100100,,Goku,100B--672000A10B,1-1,SOPORTE,"Se observa que ya transcurrieron mas de 72 hs desde el tratamiento de conversión química ( se realizo el tratamiento el dia 21/11/24 a las 18:30 hs) , por esto se encuentra vencido el tratamiento según lo especificado en la norma  NPF/PRE/001.",TTS-006,42100284.0,756368.0,60099.0,416,PROCESO QUIMÍCO,1 - 1
60100,Shiryu,3758,3748,,,Cerrado en Disposición,26/11/2024,27/11/2024,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,752124,0.0,40,"INSPECCIONAR SEGUN PLAN DE INSPECCION.
",9320.0,,,Goku,395-08143-403_MF,21-23,"PERFIL ""L"", BAHIA ELEC. 2",De acuerdo a plan de insp. 395-08143-403_MF REV C la pieza 2 se encuentra con la ref. 6 fuera de tolerancia y la pieza 3 se encuentra con las ref. 5-6-7-9 fuera de tolerancia. Ver informes adjuntos en red. \\Srie04in1\\mediciones 3d\\SALA DE MMC - PAM\\MEDICIONES\\KC 390\\395-08143-403_MF\\395-08143-403_MF-OTP752124,GYD-015,,,,9320,CONTROL DE CALIDAD,21 - 23
60101,Hyoga,3748,3748,1.0,Materiales,Cerrado,26/11/2024,27/11/2024,,12/12/2024,10/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932101,100010,0.0,1,,,PT 2019/419361,,Goku,MS14101-4P,N/S,ROTULA,Algunas de las rotulas provistas de este lote presentan manchas y pits por posible corrosión.,PAM-002,41932801.0,756084.0,60101.0,3748,VARIOS - (ANULAR DESPUES DE ACT.TABLA TALLERES),0 - 0
60102,Seiya,3768,416,,,Cerrado,26/11/2024,28/11/2024,,05/12/2024,05/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,748636,0.0,35,"REALIZAR CONVERSIÓN QUÍMICA S/ NE 40-006 (NPF/PRE/001 E IOP/PRE/0058)

REGISTRAR FECHA Y HORA DE FINALIZACIÓN DEL PROCESO:
TIEMPO DE INMERSIÓN:",416.0,,,Goku,390-07642-005,22-24,SOPORTE DELANTERO BAHIA ELEC. 2,Se observan discontinuidades en la superficie tratada no compatibles con lo establecido en la norma NPFPRE001,TTS-006,41932805.0,756370.0,60102.0,416,PROCESO QUIMÍCO,22 - 24
60103,Shun,3748,3748,,,Cerrado,26/11/2024,26/11/2024,,18/12/2024,18/12/2024,Tiger I,Tiger I,Jamir,Tiger I,42100204,748089,5.0,50,"INSPECCIÓN S/PLANO PD3, I.T. Y NPF/GER/006.",3748.0,PT 2020/100100,,Goku,100B--412310A01B,1-1,BRAZO INFERIOR,La pieza presenta entrada de herramienta de 2 mm sobre diámetro de 40 mm,PAM-003,42100284.0,756247.0,60103.0,3748,VARIOS - (ANULAR DESPUES DE ACT.TABLA TALLERES),1 - 1
60104,Hyoga,3748,3748,312.0,Métodos,Cerrado en Disposición,26/11/2024,28/11/2024,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,752838,0.0,10,"MECANIZAR EN FRESA CNC SEGUN PROGRAMAS, INSTRUCTIVO Y CROQUIS.
ALESAR POR CNC SEGÚN IPT-PAM-0967
IDENTIFICAR CON ETIQUETA COLGANTE SEGUN IPT-PAM-0492 METODO K.
",310.0,,,Goku,390-57314-405_MF,N/S,BISAGRA CENTRAL IZQ,"Ref 14, 16 y 17 del PI se encuentran fuera de tolerancia, ver informe adjunto.
Ref 19; 25 y 26 se encuentran fuera de tolerancias, ver PI adjunto.",GYD-003,,,,310,CONTROL NUMÉRICO,19 - 19
